OTU	63 Abundance	1 Abundance	10 Abundance	23 Abundance	2 Abundance	11 Abundance	24 Abundance	3 Abundance	12 Abundance	25 Abundance	4 Abundance	14 Abundance	30 Abundance	6 Abundance	15 Abundance	31 Abundance	7 Abundance	16 Abundance	35 Abundance	8 Abundance	20 Abundance	36 Abundance	9 Abundance	22 Abundance	37 Abundance	38 Abundance	48 Abundance	56 Abundance	39 Abundance	49 Abundance	57 Abundance	41 Abundance	50 Abundance	58 Abundance	42 Abundance	51 Abundance	59 Abundance	43 Abundance	52 Abundance	60 Abundance	44 Abundance	53 Abundance	61 Abundance	46 Abundance	54 Abundance	62 Abundance	47 Abundance	55 Abundance	17 Abundance	76 Abundance	18 Abundance	69 Abundance	77 Abundance	19 Abundance	78 Abundance	27 Abundance	79 Abundance	32 Abundance	72 Abundance	80 Abundance	64 Abundance	81 Abundance	82 Abundance	67 Abundance	75 Abundance	83 Abundance	84 Abundance	92 Abundance	100 Abundance	85 Abundance	93 Abundance	101 Abundance	86 Abundance	94 Abundance	102 Abundance	87 Abundance	95 Abundance	103 Abundance	88 Abundance	96 Abundance	104 Abundance	89 Abundance	97 Abundance	105 Abundance	90 Abundance	106 Abundance	91 Abundance	99 Abundance	107 Abundance	108 Abundance	116 Abundance	109 Abundance	117 Abundance	110 Abundance	118 Abundance	111 Abundance	70 Abundance	112 Abundance	71 Abundance	113 Abundance	73 Abundance	114 Abundance	74 Abundance	115 Abundance	98 Abundance
Aggregatibacter aphrophilus NJ8700	10	0	422	78	0	0	14	7	0	12	0	6	66	0	16	0	293	0	0	544	6	0	145	19	0	0	0	401	669	48	12	8	7	1348	86	102	80	251	538	7	391	82	0	0	61	15	11977	269	171	30	0	49	41	0	217	126	7	1	4	30	11	0	6	0	4	427	467	0	59	5	0	27	48	0	37	0	0	169	3	0	77	0	5	4	0	5	0	5	11	2075	17	190	10	43	36	1065	7	500	47	55	0	721	953	152	231
Alicycliphilus denitrificans BC	14	12	10	0	10	0	46	20	0	0	89	0	36	0	0	0	50	0	0	318	0	0	8	0	309	0	0	145	0	0	0	0	0	909	0	30	34	220	115	0	0	326	0	0	12	0	0	214	42	0	11	27	0	12	45	181	0	0	0	0	0	0	108	60	0	224	0	149	0	0	425	103	167	9	0	0	0	168	13	0	0	0	0	6	10	0	704	0	125	108	0	581	18	0	28	0	0	0	0	0	12	45	0	0	188
Bacteroidetes oral taxon 274 str. F0058	596	98	0	19	43	56	0	48	391	36	71	369	92	0	213	33	7	44	72	0	158	49	0	0	75	0	131	0	0	0	0	646	59	0	299	0	0	791	241	10	13	15	10	2652	0	683	0	0	385	46	47	40	67	116	0	56	0	0	362	375	108	13	1465	20	0	33	602	20	57	49	0	62	6	64	522	8	4	9	0	40	36	3	39	23	131	4	0	83	0	0	0	4	329	0	0	390	0	0	277	18	105	0	2409	0	18
Campylobacter gracilis RM3268	113	18	0	64	10	41	16	86	0	18	25	0	107	0	0	97	13	69	13	0	44	117	0	281	37	132	50	30	71	20	60	106	84	3	76	15	0	64	60	461	270	30	83	739	0	365	153	290	119	23	20	12	51	10	14	7	10	64	52	77	45	0	438	121	18	228	286	52	0	20	0	28	23	74	29	12	4	0	12	70	55	41	46	37	90	39	9	76	10	139	7	18	72	78	66	154	149	54	23	128	13	24	445	0	101
Campylobacter rectus RM3267	0	94	0	97	114	2	0	163	0	25	71	0	19	42	0	0	0	0	48	0	51	203	0	0	59	25	236	10	76	0	87	35	44	0	190	0	0	36	0	0	95	0	14	979	0	315	0	0	158	0	20	7	0	28	0	3	11	12	100	304	36	0	6	62	5	0	392	12	57	7	0	54	0	6	314	78	28	0	0	29	64	10	34	35	40	35	0	90	0	111	0	6	0	8	114	24	12	0	36	0	17	16	185	0	38
Candidatus Saccharimonas aalborgensis	425	19	0	15	4	83	0	7	174	22	19	16	179	6	132	54	0	0	79	6	32	65	157	0	108	0	58	63	42	2	0	0	334	37	52	51	75	123	74	0	7	337	45	6412	0	178	569	63	93	29	420	22	29	9	315	27	7	2	31	0	2	3	5	58	0	29	0	21	28	22	14	45	52	21	0	43	27	20	23	285	129	73	130	5	72	131	5	29	35	0	0	58	500	140	13	33	0	18	250	28	251	22	77	0	128
Capnocytophaga gingivalis ATCC 33624	268	10	303	0	85	25	381	10	0	0	45	9	131	0	176	242	48	0	0	138	0	18	57	74	242	0	0	381	0	120	48	82	0	665	30	195	124	106	373	0	0	515	21	0	541	30	19346	343	11	85	25	56	97	4	1021	81	0	32	13	0	56	13	129	6	0	179	8	208	0	7	58	14	268	0	0	5	12	73	48	17	0	0	176	10	40	55	661	8	780	32	55	1042	98	0	46	0	0	212	0	0	286	900	0	82	555
Capnocytophaga granulosa ATCC 51502	115	0	382	0	0	0	10	0	0	0	64	18	160	0	132	18	209	0	0	585	0	0	22	0	21	0	0	81	0	11	0	0	0	21	189	123	0	7	57	0	0	387	10	0	254	0	13391	7	10	0	12	38	99	28	43	111	0	0	0	0	8	0	79	24	0	14	0	24	0	8	5	56	134	0	0	0	9	81	5	6	0	0	59	0	0	5	209	17	29	0	14	317	765	0	8	0	0	11	0	0	10	526	0	20	1826
Capnocytophaga ochracea DSM 7271	211	9	172	0	11	4	110	26	116	0	168	23	183	0	171	546	30	267	0	119	0	35	15	0	55	56	0	5	11	104	0	139	0	4	84	154	0	201	133	323	9	444	25	157	194	89	1247	0	76	72	0	0	75	0	16	42	0	20	0	0	12	0	3	7	0	0	0	64	0	6	23	0	66	70	0	0	0	4	6	0	64	21	40	0	8	0	62	0	119	9	0	41	85	16	0	0	255	8	0	40	4	59	47	0	169
Capnocytophaga sputigena ATCC 33612	598	74	482	0	157	135	196	63	0	0	25	28	64	0	273	19	51	0	0	133	0	0	69	0	100	0	0	179	7	93	22	156	0	162	42	395	329	207	672	0	14	504	20	0	511	136	5978	319	28	24	6	159	14	49	356	139	0	16	5	0	15	4	220	0	0	498	4	151	0	8	217	103	36	33	0	9	0	157	33	4	0	0	57	48	35	336	863	0	786	496	851	1120	169	0	43	0	0	523	0	34	164	1582	0	320	127
