OTU	Aggregatibacter aphrophilus NJ8700	Alicycliphilus denitrificans BC	Bacteroidetes oral taxon 274 str. F0058	Campylobacter gracilis RM3268	Campylobacter rectus RM3267	Candidatus Saccharimonas aalborgensis	Capnocytophaga gingivalis ATCC 33624	Capnocytophaga granulosa ATCC 51502	Capnocytophaga ochracea DSM 7271	Capnocytophaga sputigena ATCC 33612	Cardiobacterium hominis ATCC 15826	Dialister invisus DSM 15470	Eikenella corrodens CC92I	Elizabethkingia anophelis NUHP1	Eubacterium brachy ATCC 33089	Eubacterium saphenum ATCC 49989	Fusobacterium nucleatum subsp. animalis 7_1	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	Fusobacterium nucleatum subsp. vincentii 3_1_36A2	Granulicatella adiacens ATCC 49175	Haemophilus parainfluenzae T3T1	Kingella denitrificans ATCC 33394	Lautropia mirabilis ATCC 51599	Leptotrichia buccalis C-1013-b	Mogibacterium sp. CM50	Neisseria elongata subsp. glycolytica ATCC 29315	Neisseria sicca ATCC 29256	Parvimonas micra ATCC 33270	Parvimonas sp. oral taxon 110 str. F0139	Porphyromonas endodontalis ATCC 35406	Porphyromonas gingivalis W83	Prevotella oris C735	Pseudopropionibacterium propionicum F0230a	Rothia aeria	Rothia dentocariosa ATCC 17931	Selenomonas sputigena ATCC 35185	Streptococcus mitis bv. 2 str. F0392	Streptococcus oralis Uo5	Streptococcus sanguinis SK36	Tannerella forsythia 92A2	Thermovirga lienii DSM 17291	Treponema denticola ATCC 35405	Treponema maltophilum ATCC 51939	Treponema medium ATCC 700293	Treponema socranskii subsp. paredis ATCC 35535	Treponema sp. OMZ 838	Veillonella parvula DSM 2008
Aggregatibacter aphrophilus NJ8700	1.0	0.16966410406859478	-0.25984539407605217	-0.06294892465610699	-0.25792826650596135	-0.16430529294706583	0.2383762247236722	0.2675619109111126	0.05441880062815678	0.3070737547347206	0.3298354864871037	-0.21921995821575804	0.3781906177259848	0.3685307194752575	-0.19535568934259429	-0.26517398596420444	-0.2196983987057222	0.24401740031806662	-0.11762862277342728	0.08259596068068437	0.29120336500043675	0.23078482094340552	0.17072443053280073	0.06555636805389803	-0.1787728384338935	0.2930287677503751	0.08031028854885444	-0.1474578733152211	-0.2815637333725197	-0.22217703611778364	-0.2902059355877159	-0.1434457217114154	0.21507736634226465	0.18108807483384995	0.09853422845780015	-0.330117241144731	0.24494132863395998	0.17227086883461112	0.24755189882656614	-0.2593495945855518	-0.27013078190888584	-0.11104509705428434	-0.1883214325986301	-0.25649853685714674	-0.2235075366905132	-0.31042581456276863	-0.0351604055034163
Alicycliphilus denitrificans BC	0.16966410406859472	1.0	-0.22454329473578938	-0.2356128427059352	-0.33509692835814475	0.02941476399720397	0.545518730204918	0.4692910971398585	0.18674283018708876	0.5536731232337392	0.2745439833571836	-0.3483360951413009	0.39105930084382134	0.49633899340770127	-0.27765755964678585	-0.26820690286752513	-0.4022382228817013	-0.07831610309125461	-0.18019494443658232	0.38130098467069024	-0.01853269317824199	0.17141139505586359	0.4162221410060277	0.20355815784382042	-0.4174594062139314	0.29588877951076986	0.16873336038218906	-0.28204009456928436	-0.35000858684458935	-0.2689959697531924	-0.2648550329735483	-0.3890238520120136	0.46366492457352637	0.33773369618697857	-0.005744609466295536	-0.31380210148496257	0.18552681765241266	0.09200256757785688	0.305548858734663	-0.33785436211185116	-0.2190390270425235	-0.2196928794517689	-0.25684602571132376	-0.22934146972579622	-0.26291070591520127	-0.23791027492662487	-0.24251380413622814
Bacteroidetes oral taxon 274 str. F0058	-0.25984539407605217	-0.22454329473578938	1.0	0.2034862104046078	0.36429490726381886	0.1894264157485332	-0.3125828837454964	-0.23335971187533067	-0.04453049217349539	-0.2873132916945925	-0.18331903709473318	0.20038150798505916	-0.0446335589541763	-0.34120683351092995	0.2143960659229783	0.3143175199473935	0.2570249666993328	-0.08862619134928482	0.19022025486305655	-0.21071657072630068	-0.3189628573375305	-0.2388112247080633	-0.28385184819698206	-0.10739167493268864	0.28898313586195157	-0.1965250465258093	-0.29870480099886615	0.24038442965071025	0.265715470154794	0.3296688061769233	0.06089581037243522	0.1923282918879205	-0.18218283294343013	-0.2939402081901462	-0.16461329384040713	0.3318875105655975	-0.4203231288510351	-0.3480029850165097	-0.3986663693539789	0.4637405904442492	0.37304535124130844	0.33007059518698734	0.34689225420951486	0.3535729351377819	0.41870844794909456	0.3017358640985853	-0.12480716451494331
Campylobacter gracilis RM3268	-0.06294892465610681	-0.23561284270593516	0.2034862104046078	1.0	0.3061933962945449	-0.11097882814036228	-0.225144127458932	-0.34812723492129083	-0.010468257157836986	-0.28479155319452104	-0.1582515298399886	0.28242406848276397	-0.04624047400931462	-0.291000663470825	0.37034216831264843	0.08868750957359456	0.33196545994373916	0.08483172573976824	0.48317574369961597	-0.1867510264379335	-0.1382318629943533	-0.22785771769635577	-0.3290468509471512	-0.2707030700550419	0.11158504958164411	-0.31651114272114456	-0.36095276071248406	0.20642104039077996	0.27462558986703467	0.24887940382848117	0.0982446632218262	0.10301863830547159	-0.16296388675775242	-0.2001762348253393	0.14600602092351256	0.05527703367329656	0.010355000792329526	-0.2958395464282234	-0.23891364823000016	0.24186530721075666	0.3120510362965241	0.24673375975761774	0.17685890707901478	0.21548019583093056	0.2514646348185073	0.18181907885595158	0.007109100057255303
Campylobacter rectus RM3267	-0.25792826650596135	-0.33509692835814475	0.36429490726381886	0.30619339629454495	1.0	-0.08450480032471966	-0.5056885839187579	-0.5062099295731783	-0.3797297986945898	-0.48578907769900337	-0.4485939950398804	0.37746905874835623	-0.3298081930428324	-0.4969258036067655	0.4706120873501191	0.4682342208770609	0.409122171410513	0.009052293435414957	0.46475363533863995	-0.4715651444491605	-0.34624352269462255	-0.3452565165475631	-0.41588260914456066	-0.27929753012001024	0.3492229123762628	-0.48653233083088243	-0.3493519440151754	0.34392978880604963	0.37738509056112124	0.49752843385302803	0.42124438388845964	0.09818201946318264	-0.30093989246396396	-0.32701711599931516	-0.19177269543017395	0.2903613082966342	-0.318628943886885	-0.41217285156599526	-0.5020498087495986	0.6240042258125497	0.6595253219309529	0.6696690127595737	0.6127047337591807	0.5512344636179145	0.6157876108673965	0.45258185233459575	-0.11564028707917084
Candidatus Saccharimonas aalborgensis	-0.16430529294706583	0.02941476399720397	0.18942641574853317	-0.11097882814036229	-0.08450480032471966	1.0	0.026756617518144933	0.06972120923959454	0.004136463915683441	-0.05509494909953573	-0.02293243256697779	0.09596801813144881	-0.08721537151401015	-0.06850236784229936	-0.0352789791785431	0.19103599373761793	-0.028937629718638648	-0.23258800650628458	-0.04078792432260939	-0.0891219298054626	-0.29030624836126595	-0.04038590242830377	-0.08867008467970149	0.12854818380254635	0.09111822405455558	0.013160388484684095	-0.08474206372301549	0.06400301115107829	-0.022291678506005955	0.09236426084286978	-0.013463922407799075	0.10988869937831605	-0.0809570057776493	-0.12061495969360884	-0.027760294964400987	0.2916065994917948	-0.09605029332085993	-0.16283983654564627	-0.20937827762035227	0.08554875574601807	0.11203133595316939	0.15542358168684528	0.05237209742147494	0.15840737912506522	0.09182583371484113	0.18924111518441658	-0.06440949787053706
Capnocytophaga gingivalis ATCC 33624	0.2383762247236721	0.545518730204918	-0.3125828837454964	-0.22514412745893198	-0.5056885839187579	0.026756617518145013	1.0	0.6771735191838087	0.3059610629556797	0.8030496461479559	0.6473357206105188	-0.5233750950887681	0.4652372745575005	0.7106911370484941	-0.5592793611425979	-0.4883780923129369	-0.5690193410043078	-0.014944988811155156	-0.37976779912941583	0.5760625177802243	0.2847691134292159	0.5188515752430918	0.663039645356303	0.3676564967573347	-0.6238369734407505	0.6254177527891907	0.5316520837920806	-0.5493265484247023	-0.5149607414668895	-0.5432891940278425	-0.5014006046768543	-0.3952486582919754	0.5839429275717959	0.5354519097111063	0.294317541775838	-0.4562282438372781	0.39692973953743316	0.39213959551281374	0.581665560671029	-0.5465415297047735	-0.504475117536935	-0.4821066702477933	-0.5086850304268145	-0.5063763232041365	-0.5085983343319888	-0.45116838914041896	0.0269963043803903
Capnocytophaga granulosa ATCC 51502	0.2675619109111126	0.4692910971398585	-0.2333597118753307	-0.34812723492129105	-0.5062099295731783	0.06972120923959454	0.6771735191838086	1.0	0.328133673639355	0.5834874593609447	0.49561705801303435	-0.4595805369172182	0.4185588372421851	0.5098114806222316	-0.554782429235624	-0.3911231431845906	-0.4571921637785429	0.006747970801206768	-0.43767593979228725	0.4293541874413405	0.18372335883325608	0.45117285522117856	0.48277160611920145	0.4291713409353428	-0.4673443506363217	0.598676899278628	0.41059631775800387	-0.5018055938580009	-0.5370442771430726	-0.5052860594941031	-0.39020774084718224	-0.3437938877303017	0.3353504078013173	0.3101841519733324	0.0663234538667201	-0.3355568955270803	0.2138313101905101	0.3173805828487418	0.38719755905487946	-0.4364848885230296	-0.4857541548059691	-0.3968043936157619	-0.3880155509947125	-0.3805797707228732	-0.410441578376989	-0.4024319928538487	0.03885419201713426
Capnocytophaga ochracea DSM 7271	0.05441880062815661	0.18674283018708876	-0.04453049217349525	-0.010468257157836988	-0.3797297986945898	0.004136463915683442	0.30596106295567965	0.32813367363935503	1.0	0.276689269357845	0.25728446617672135	-0.22974314177087893	0.28396045670402126	0.22008141999362188	-0.30375437170623953	-0.25764805988538814	-0.0341850624624602	-0.024586497370373085	-0.2267825703529221	0.330141768609115	0.13389570812821072	0.2594429369416491	0.29462337025006824	0.21266135442552056	-0.2538434967242202	0.22184903708136253	0.1441745845298153	-0.16893925054022868	-0.08527598998133112	-0.30962081684360643	-0.16376986714669411	-0.19998544579381874	0.20204845400811655	0.08188397561866631	0.09907165053425784	-0.20159195307554081	0.11773896885836299	0.09342540010894665	0.20941252384354925	-0.27382853187264466	-0.3515023157727196	-0.2964327592010826	-0.317340766521943	-0.21010041966927578	-0.33165972405468536	-0.18846631901944824	0.10914422384117048
Capnocytophaga sputigena ATCC 33612	0.3070737547347206	0.5536731232337392	-0.2873132916945923	-0.28479155319452104	-0.48578907769900337	-0.055094949099535724	0.8030496461479559	0.5834874593609447	0.27668926935784505	1.0	0.5408019598379223	-0.5497811792318539	0.46342558497378983	0.679345189061585	-0.48704578532145293	-0.4568996001153657	-0.5520058971979449	-0.011005523570041215	-0.33708301138313645	0.5471556416127549	0.2090891979585358	0.42544343002684054	0.658716878223353	0.27770560476641837	-0.491811120389514	0.4793303181350381	0.45149901181483887	-0.42108136760079046	-0.5010400949104616	-0.490854222623213	-0.3824812844316641	-0.36932982560218697	0.6151046993362675	0.48921704377714337	0.11604165430236504	-0.44186419610331373	0.36388746518346105	0.3416990183418843	0.5797657853853058	-0.48162753929411445	-0.4310014997278113	-0.46856408246125847	-0.46369710747733367	-0.4932221672173587	-0.43591173540026873	-0.45283765425507394	-0.07643850925373641
Cardiobacterium hominis ATCC 15826	0.3298354864871037	0.2745439833571836	-0.18331903709473318	-0.1582515298399886	-0.44859399503988046	-0.022932432566977978	0.6473357206105188	0.49561705801303435	0.25728446617672135	0.5408019598379223	1.0	-0.4899974160064262	0.4108404286245778	0.5737097966739735	-0.5523543194684897	-0.46562500003314766	-0.4593761585784843	0.08408027672208451	-0.4356508010739307	0.22459332568482004	0.3711733047152	0.46046807127470685	0.47377893387633413	0.3744313548418725	-0.5910477211864018	0.6213797533977192	0.38541791428548366	-0.4978169306031192	-0.4811215308473581	-0.5344866355581097	-0.5145806039024221	-0.31413986227057966	0.4779473306921298	0.49134759033468245	0.3628527555561015	-0.38243688211542726	0.2047680835593068	0.2671035982567255	0.5282684196860077	-0.508021109146507	-0.49845410428080894	-0.4378996181753143	-0.4755542399053938	-0.49105245980925116	-0.49504099194872964	-0.44352765331405825	0.10863753701478582
Dialister invisus DSM 15470	-0.21921995821575802	-0.3483360951413009	0.20038150798505916	0.28242406848276397	0.3774690587483562	0.09596801813144873	-0.5233750950887681	-0.4595805369172181	-0.22974314177087893	-0.5497811792318539	-0.4899974160064262	1.0	-0.4331481212324444	-0.5418300761281012	0.5202195911072063	0.3954659501355482	0.6396927268499375	-0.13602998238297181	0.37840996569611884	-0.36139182261774194	-0.3148652560594136	-0.3671931883316535	-0.5356579439252922	-0.28357920486485716	0.5809736946594679	-0.5814010948192282	-0.4097057200215566	0.5830706984473284	0.4613057802247089	0.6030679029414154	0.3129020018315696	0.5173773112877262	-0.4187719561300097	-0.414010996546335	-0.24627615590217194	0.6086812829975992	-0.26082651710237825	-0.3137106024476428	-0.5955510421439979	0.45501218856638437	0.4907561501724176	0.5425100067170857	0.4385867970118388	0.517357943488122	0.49938658783601275	0.45481886835537205	0.025866629839832195
Eikenella corrodens CC92I	0.37819061772598467	0.39105930084382123	-0.0446335589541763	-0.04624047400931462	-0.3298081930428325	-0.08721537151401015	0.4652372745575005	0.4185588372421851	0.2839604567040212	0.46342558497378983	0.4108404286245777	-0.43314812123244445	1.0	0.4356377988704928	-0.3974947976808143	-0.4363969505764744	-0.3215988610981019	0.16833120600241655	-0.22854315393657548	0.338260468588915	0.20153034799714387	0.3032343873687187	0.35658265670572975	0.1823351526219098	-0.4114330160309128	0.32871930585325687	0.20610258777067936	-0.3798524790508761	-0.31025319886891345	-0.4081007300479941	-0.4000604881618035	-0.20912841262076193	0.48279126936343475	0.29122932480501207	0.1534025127932484	-0.4200552942017063	0.24021026752640717	0.1700657352402467	0.3407227312201016	-0.34495866465089475	-0.3671753671297491	-0.31276785281855807	-0.4051297455785721	-0.36601814007774314	-0.408186858199476	-0.43192568450968827	-0.07530351240634292
Elizabethkingia anophelis NUHP1	0.3685307194752576	0.49633899340770127	-0.34120683351092995	-0.291000663470825	-0.4969258036067655	-0.06850236784229928	0.7106911370484941	0.5098114806222316	0.22008141999362185	0.6793451890615851	0.5737097966739735	-0.5418300761281012	0.4356377988704928	1.0	-0.5312361005839494	-0.5176404712611322	-0.5834420970977994	-0.016868878052732003	-0.3947542036270242	0.4447331978179682	0.3774753288369125	0.4396112825473536	0.6275502966006475	0.26185279926256955	-0.5971034536770568	0.5541688616913147	0.45387739989458464	-0.47450865976539014	-0.4459615465706378	-0.5072026162991343	-0.4085895749166048	-0.37507995554172324	0.579660604788151	0.5707138799357478	0.2948677138017983	-0.5355311775446525	0.3460448785451442	0.38480665639952216	0.629326369185673	-0.565738740584061	-0.5253163974647728	-0.42845156266467677	-0.43631811377042634	-0.5767566092776862	-0.500933376323111	-0.5053341242530089	-0.098484429255862
Eubacterium brachy ATCC 33089	-0.19535568934259429	-0.27765755964678585	0.21439606592297838	0.37034216831264843	0.4706120873501191	-0.0352789791785431	-0.5592793611425981	-0.554782429235624	-0.30375437170623953	-0.4870457853214529	-0.5523543194684899	0.5202195911072063	-0.3974947976808143	-0.5312361005839494	1.0	0.44197607290796426	0.4441075094311113	0.10807000261124669	0.6708191962920727	-0.44362900125387905	-0.39505882608895304	-0.5036755875373791	-0.5774543208723446	-0.40233199776619777	0.5007307434038482	-0.5769538722035419	-0.5284593907882159	0.6416413356001966	0.5300111692442099	0.640956707311167	0.4962344276752663	0.25412864266273943	-0.3642198466510809	-0.47875267160366464	-0.23976971425557786	0.3090351889136516	-0.3405433286842614	-0.40246723692425124	-0.5360748971834307	0.5589799546141854	0.6913450594719823	0.661864823427959	0.5734593210860268	0.6039271167980884	0.5922536956188145	0.5758313193848914	-0.17073093591902028
Eubacterium saphenum ATCC 49989	-0.2651739859642046	-0.2682069028675251	0.31431751994739343	0.08868750957359456	0.46823422087706085	0.1910359937376179	-0.48837809231293694	-0.39112314318459074	-0.2576480598853883	-0.4568996001153657	-0.46562500003314766	0.3954659501355481	-0.4363969505764744	-0.5176404712611322	0.44197607290796426	1.0	0.27830188782813053	-0.15302721359337831	0.32893123724226414	-0.4721569403337916	-0.4551652510752965	-0.37524358976210065	-0.5001273013389457	-0.14285076232583777	0.45109229686482516	-0.37490816038137753	-0.33493424514756076	0.2628159812210049	0.21836441924403976	0.4720583949410363	0.4826335417332792	0.2140044095009092	-0.46989132196641914	-0.42056783760365896	-0.1921810967216024	0.5266996393697372	-0.2472113573689561	-0.4743326810329577	-0.564030748278328	0.456795248734916	0.6444951960219446	0.6050680070627217	0.5814798822017151	0.6926218482534685	0.6093085956692292	0.6127511151511327	-0.030143890972509232
Fusobacterium nucleatum subsp. animalis 7_1	-0.21969839870572222	-0.4022382228817012	0.2570249666993328	0.33196545994373916	0.4091221714105131	-0.028937629718638593	-0.5690193410043078	-0.4571921637785429	-0.03418506246246019	-0.5520058971979449	-0.4593761585784843	0.6396927268499374	-0.32159886109810154	-0.5834420970977992	0.4441075094311114	0.2783018878281306	1.0	-0.09462649482285487	0.38124814080294367	-0.3095099869108042	-0.19544562312995217	-0.3501642147118992	-0.48305927220565903	-0.2822536692366939	0.49368235958063533	-0.5416258059839307	-0.4576736250719974	0.5456471715260341	0.5133401280026706	0.530774375659691	0.289428070022679	0.4163932128863328	-0.4351748272162057	-0.3886616199371053	-0.13987860595098336	0.49230031384515116	-0.28658674504197945	-0.3309746010074027	-0.45446986193255245	0.4293659378687753	0.4096397380463107	0.5115725252019511	0.37392432459184266	0.43244812017732803	0.3804138826660285	0.3922690040120601	0.14048699885081886
Fusobacterium nucleatum subsp. nucleatum ATCC 25586	0.24401740031806662	-0.07831610309125461	-0.0886261913492848	0.08483172573976824	0.009052293435414955	-0.23258800650628447	-0.01494498881115532	0.006747970801206769	-0.024586497370372995	-0.011005523570041066	0.08408027672208451	-0.13602998238297176	0.16833120600241658	-0.016868878052732003	0.10807000261124669	-0.15302721359337815	-0.09462649482285487	1.0	-0.05914288314718473	-0.004461205389852798	0.16445470209881857	-0.058081199354245654	-0.03675045898942808	0.02991043621033606	-0.016310941937602023	0.13735650611880823	-0.04443986299869742	-0.032705442361871076	-0.024496208218820335	-0.0839829367737858	0.024383154121021603	-0.09359366784012817	-0.10814447331415714	-0.07958360238762582	-0.026707756744337664	-0.2177566574921127	0.00978280929191685	0.18946580861068704	0.08241877580832288	0.0367063404153192	0.05109850499983679	0.1863965026068422	0.10326351003949016	-0.038603074784805444	0.0034714502087668632	-0.019915458232516878	0.027061813013679742
Fusobacterium nucleatum subsp. vincentii 3_1_36A2	-0.11762862277342728	-0.18019494443658232	0.1902202548630565	0.4831757436996159	0.4647536353386399	-0.04078792432260939	-0.37976779912941583	-0.43767593979228725	-0.2267825703529221	-0.33708301138313645	-0.4356508010739307	0.3784099656961188	-0.22854315393657548	-0.39475420362702424	0.6708191962920727	0.32893123724226414	0.38124814080294367	-0.059142883147184834	1.0	-0.3202378526434734	-0.2963416732003374	-0.37066031196295945	-0.48340856543842126	-0.2974992922865669	0.3084034479122977	-0.4684140627004161	-0.44206401896765585	0.3766135547399005	0.34550351190250084	0.4279676394216406	0.3735009588494109	0.15060829810141768	-0.27087646325330933	-0.39199956323324536	-0.23222849392136996	0.17015308891711878	-0.17926073886720284	-0.4661663757486758	-0.4354623463395525	0.47247513766533067	0.5752445614468154	0.5265721687083065	0.48267525277551887	0.44029296913099447	0.5115825778703244	0.40674698813683874	-0.20652681152430674
Granulicatella adiacens ATCC 49175	0.08259596068068444	0.38130098467069024	-0.21071657072630065	-0.1867510264379335	-0.47156514444916064	-0.0891219298054626	0.5760625177802244	0.4293541874413406	0.33014176860911504	0.5471556416127549	0.22459332568482002	-0.361391822617742	0.33826046858891506	0.4447331978179682	-0.44362900125387905	-0.47215694033379163	-0.3095099869108043	-0.004461205389852882	-0.3202378526434733	1.0	0.24916162288308352	0.28258937313289856	0.5349752709598126	0.07956676009664346	-0.43319608695386996	0.3146941103183432	0.39012125641110135	-0.32857559532509917	-0.18744832607293654	-0.45604240584151223	-0.26697521036096306	-0.2329491540036177	0.3557945960562223	0.26574776081575296	0.16214892254371577	-0.3943513764323332	0.5298046444042498	0.48819988936930436	0.5069396463683109	-0.5021298526249104	-0.453516370550623	-0.41913346467100276	-0.4448579286757659	-0.4544476206821907	-0.417337051539009	-0.4887975080489617	0.06571248519897262
